sentence,lemma,token,target,left,right
I am pleased that ECHELON's existence is recognised and that the need for transparent international agreements is acknowledged.,need,need,true,I am pleased that ECHELON's existence is recognised and that the , for transparent international agreements is acknowledged.
"However, there are 3 main reasons why I voted against the Report.",reason,reasons,true,"However, there are 3 main ", why I voted against the Report.
"While the report says much about the need for protection of privacy and monitoring of the secret services, what should the individual do?",need,need,true,While the report says much about the ," for protection of privacy and monitoring of the secret services, what should the individual do?"
"Mr President, I have listened to your comments with interest, but I would like to refer back to my question, Question No 6: What conclusions should now be drawn for European Council meetings in future, not only as regards policing but also in organisational and policy terms?",conclusion,conclusions,false,"Mr President, I have listened to your comments with interest, but I would like to refer back to my question, Question No 6: What "," should now be drawn for European Council meetings in future, not only as regards policing but also in organisational and policy terms?"
"If the European Council meetings are only to take place in Belgium in future, has the idea of its own designated location been considered?",idea,idea,true,"If the European Council meetings are only to take place in Belgium in future, has the ", of its own designated location been considered?
"Would the Council consider locating an operational headquarters for this civil protection plan in Shannon which, among its many relevant facilities, includes a major international airport which could be used for transporting resources and provisions for interventions in third countries and could handle the pooling of information on serums and vaccines to which the Council Decision also refers?",decision,Decision,false,"Would the Council consider locating an operational headquarters for this civil protection plan in Shannon which, among its many relevant facilities, includes a major international airport which could be used for transporting resources and provisions for interventions in third countries and could handle the pooling of information on serums and vaccines to which the Council ", also refers?
"As the honourable Member has repeated the question which was addressed to us earlier, I can only repeat the answer I gave. I am sorry.",question,question,true,As the honourable Member has repeated the ," which was addressed to us earlier, I can only repeat the answer I gave. I am sorry."
The thinking is developing and this is shown by the conclusions to which I refer.,conclusion,conclusions,true,The thinking is developing and this is shown by the , to which I refer.
I note that the President-in-Office has referred to the discussions which she hopes will come to a fruitful and successful conclusion.,conclusion,conclusion,false,I note that the President-in-Office has referred to the discussions which she hopes will come to a fruitful and successful ,.
I would add that I hope it will also be a fair conclusion.,conclusion,conclusion,false,I would add that I hope it will also be a fair ,.
I would ask the President-in-Office whether she would take into consideration the initiative taken by both Ireland and the UK in relation to technical conservation measures and see that some effort is made by all countries to try to ensure that the smaller fish are not taken on board.,effort,effort,false,I would ask the President-in-Office whether she would take into consideration the initiative taken by both Ireland and the UK in relation to technical conservation measures and see that some , is made by all countries to try to ensure that the smaller fish are not taken on board.
You referred to the point that relative stability and special unique circumstances cannot be taken into consideration.,circumstances,circumstances,false,You referred to the point that relative stability and special unique , cannot be taken into consideration.
I thank the President-in-Office for her positive response and for outlining the present position with regard to my question.,position,position,false,I thank the President-in-Office for her positive response and for outlining the present , with regard to my question.
"In other words, we are quite used to having a largely paper-based currency, so my question is this: do you think it is likely that we will ultimately have one or two euro notes as well, given that the five euro note is currently the smallest denomination?",question,question,true,"In other words, we are quite used to having a largely paper-based currency, so my "," is this: do you think it is likely that we will ultimately have one or two euro notes as well, given that the five euro note is currently the smallest denomination?"
Obviously the whole area of new technologies is one that has presented us with many problems as well as boundless opportunities.,opportunity,opportunities,false,Obviously the whole area of new technologies is one that has presented us with many problems as well as boundless ,.
"Unfortunately, however, as with most new opportunities, these have been hijacked to a huge extent by people of criminal intent who use them for illicit means.",opportunity,opportunities,false,"Unfortunately, however, as with most new ",", these have been hijacked to a huge extent by people of criminal intent who use them for illicit means."
"Unfortunately, however, as with most new opportunities, these have been hijacked to a huge extent by people of criminal intent who use them for illicit means.",intent,intent,false,"Unfortunately, however, as with most new opportunities, these have been hijacked to a huge extent by people of criminal ", who use them for illicit means.
"Therefore the onus is on us to ensure that we can put in place proper controls and measures, not with regard to access, but ensuring that parents can make certain their children will not be endangered by these new technologies and also that there is cooperation amongst the law enforcement agencies across the Member States.",onus,onus,true,Therefore the ," is on us to ensure that we can put in place proper controls and measures, not with regard to access, but ensuring that parents can make certain their children will not be endangered by these new technologies and also that there is cooperation amongst the law enforcement agencies across the Member States."
I welcome the fact that in the reports there is a role for Europol and Eurojust as well as between the Member States.,fact,fact,true,I welcome the , that in the reports there is a role for Europol and Eurojust as well as between the Member States.
"Finally, it is a forward looking plan when we look at cooperation with the United States of America and other countries throughout the world, to ensure that this new technology can be used for the benefit of all of mankind and not for those who want to avoid our legal structures.",plan,plan,false,"Finally, it is a forward looking "," when we look at cooperation with the United States of America and other countries throughout the world, to ensure that this new technology can be used for the benefit of all of mankind and not for those who want to avoid our legal structures."
"Mr President, Commissioner, ladies and gentlemen, I should like to start by thanking the rapporteur once again for presenting his very good report in response to the Commission's proposals, as well as the amendments put forward by the committee.",proposal,proposals,false,"Mr President, Commissioner, ladies and gentlemen, I should like to start by thanking the rapporteur once again for presenting his very good report in response to the Commission's ",", as well as the amendments put forward by the committee."
"In reality, this is prevented by the fact that European law takes precedence over national law, and I anticipate that the current proposal will create fair competition and equal competition conditions.",fact,fact,true,"In reality, this is prevented by the "," that European law takes precedence over national law, and I anticipate that the current proposal will create fair competition and equal competition conditions."
"In reality, this is prevented by the fact that European law takes precedence over national law, and I anticipate that the current proposal will create fair competition and equal competition conditions.",law,law,false,"In reality, this is prevented by the fact that European ", 
"In reality, this is prevented by the fact that European law takes precedence over national law, and I anticipate that the current proposal will create fair competition and equal competition conditions.",law,law,false,"In reality, this is prevented by the fact that European ", 
"In reality, this is prevented by the fact that European law takes precedence over national law, and I anticipate that the current proposal will create fair competition and equal competition conditions.",proposal,proposal,false,"In reality, this is prevented by the fact that European law takes precedence over national law, and I anticipate that the current ", will create fair competition and equal competition conditions.
Many congratulations on having the courage to take these initiatives.,courage,courage,true,Many congratulations on having the , to take these initiatives.
"Mr President, firstly I would like to congratulate the rapporteur for the report which has been a difficult one in terms of reaching a balance between the interests of what is clearly the very important- and very immediate- issue of fire safety and the more difficult, but more long-term problem of future harm to public health and the environment.",issue,issue,true,"Mr President, firstly I would like to congratulate the rapporteur for the report which has been a difficult one in terms of reaching a balance between the interests of what is clearly the very important- and very immediate- "," of fire safety and the more difficult, but more long-term problem of future harm to public health and the environment."
Action on these substances in the opinion of many Members of this Parliament has been long delayed due to the slow progress of the risk assessments undertaken under the existing substance regulations of 1993.,opinion,opinion,false,Action on these substances in the , of many Members of this Parliament has been long delayed due to the slow progress of the risk assessments undertaken under the existing substance regulations of 1993.
The general conclusions are clear.,conclusion,conclusions,true,The general , are clear.
"I give my support to the amendments to that report which enable the continued use of the most stable isomer, that is decaBDE, until such time as this substance has a complete risk assessment and its real uses and risks are assessed and we have some conclusions on it.",conclusion,conclusions,false,"I give my support to the amendments to that report which enable the continued use of the most stable isomer, that is decaBDE, until such time as this substance has a complete risk assessment and its real uses and risks are assessed and we have some ", on it.
Europe can only cover 50% of its plasma needs.,need,needs,false,Europe can only cover 50% of its plasma ,.
"Rather than put it the way you put it, I would say that it does not necessarily follow that blood from a remunerated source is any less safe than blood from an unremunerated source and the studies that have been produced more recently on this issue tend to support that proposition.",issue,issue,true,"Rather than put it the way you put it, I would say that it does not necessarily follow that blood from a remunerated source is any less safe than blood from an unremunerated source and the studies that have been produced more recently on this ", tend to support that proposition.
"Reference has been made to some studies that go in the other direction, but my advice is that those studies are old studies and the more modern view is in accordance with the view that I have just expressed.",view,view,false,"Reference has been made to some studies that go in the other direction, but my advice is that those studies are old studies and the more modern ", 
"Reference has been made to some studies that go in the other direction, but my advice is that those studies are old studies and the more modern view is in accordance with the view that I have just expressed.",view,view,true,"Reference has been made to some studies that go in the other direction, but my advice is that those studies are old studies and the more modern ", 
"I have my doubts about the value of that proposal, but I do believe you have really succeeded in giving this European Parliament, as its President, an image of pugnacity and wisdom.",doubt,doubts,false,I have my ," about the value of that proposal, but I do believe you have really succeeded in giving this European Parliament, as its President, an image of pugnacity and wisdom."
"I have my doubts about the value of that proposal, but I do believe you have really succeeded in giving this European Parliament, as its President, an image of pugnacity and wisdom.",proposal,proposal,false,I have my doubts about the value of that ,", but I do believe you have really succeeded in giving this European Parliament, as its President, an image of pugnacity and wisdom."
"Mr President, this is not about a debate, it is about equal rights for all.",right,rights,false,"Mr President, this is not about a debate, it is about equal ", for all.
"If you allow the chairman of the Socialist Group and Mr Martens the right to comment on this vote, then you have to allow the chairmen of the other Groups the same right.",right,right,true,If you allow the chairman of the Socialist Group and Mr Martens the , 
"Mr President, on the issue of substance in that vote, I want to say on behalf of the Liberal Group how disappointed we are that we did not leave in the hands of Parliament the capacity to deliver by a large majority what Parliament actually believes in.",issue,issue,false,"Mr President, on the "," of substance in that vote, I want to say on behalf of the Liberal Group how disappointed we are that we did not leave in the hands of Parliament the capacity to deliver by a large majority what Parliament actually believes in."
"Mr President, on the issue of substance in that vote, I want to say on behalf of the Liberal Group how disappointed we are that we did not leave in the hands of Parliament the capacity to deliver by a large majority what Parliament actually believes in.",capacity,capacity,true,"Mr President, on the issue of substance in that vote, I want to say on behalf of the Liberal Group how disappointed we are that we did not leave in the hands of Parliament the ", to deliver by a large majority what Parliament actually believes in.
"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of reason and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the issue beyond any possible doubt by voting for the reserve, and we regret that decision today.",reason,reason,false,"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of "," and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the issue beyond any possible doubt by voting for the reserve, and we regret that decision today."
"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of reason and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the issue beyond any possible doubt by voting for the reserve, and we regret that decision today.",issue,issue,false,"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of reason and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the "," beyond any possible doubt by voting for the reserve, and we regret that decision today."
"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of reason and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the issue beyond any possible doubt by voting for the reserve, and we regret that decision today.",doubt,doubt,false,"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of reason and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the issue beyond any possible "," by voting for the reserve, and we regret that decision today."
"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of reason and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the issue beyond any possible doubt by voting for the reserve, and we regret that decision today.",decision,decision,false,"The European Commission, with whom we have a code of conduct and whom we trust to honour that code of conduct, has spoken to this Parliament with two voices: the President 's voice of reason and the firmness of resolve not to accept our entreaties on Turkey on the part of Commissioner van den Broek. That is why this House needed to place the issue beyond any possible doubt by voting for the reserve, and we regret that ", today.
"So it is not my intention now to say a solemn farewell- you are still with us, and I give you fair warning that we shall cross swords with you again, either here or in North-Rhine Westphalia, where there is a desperate need for people to fight in our common cause.",intention,intention,true,So it is not my ," now to say a solemn farewell- you are still with us, and I give you fair warning that we shall cross swords with you again, either here or in North-Rhine Westphalia, where there is a desperate need for people to fight in our common cause."
"So it is not my intention now to say a solemn farewell- you are still with us, and I give you fair warning that we shall cross swords with you again, either here or in North-Rhine Westphalia, where there is a desperate need for people to fight in our common cause.",need,need,true,"So it is not my intention now to say a solemn farewell- you are still with us, and I give you fair warning that we shall cross swords with you again, either here or in North-Rhine Westphalia, where there is a desperate ", for people to fight in our common cause.
"You have made an effort to give important political significance even to those minor events, an example being the exhibition that opened in this House this week.",effort,effort,true,You have made an ," to give important political significance even to those minor events, an example being the exhibition that opened in this House this week."
A small occasion that became an important one because of your presence and what you said.,occasion,occasion,true,A small , that became an important one because of your presence and what you said.
"That was actually the starting point, the reason why those reports are on the agenda now.",reason,reason,true,"That was actually the starting point, the ", why those reports are on the agenda now.
"I must in all honesty say I should be rather upset not to hold the vote until January, because we shall then be even further away from the fiftieth anniversary, so we shall have even more difficulty in arousing public interest.",difficulty,difficulty,false,"I must in all honesty say I should be rather upset not to hold the vote until January, because we shall then be even further away from the fiftieth anniversary, so we shall have even more ", in arousing public interest.
We may not have sufficient Members to take a proper decision on this issue and we need to make a clear statement to the Commission.,decision,decision,false,We may not have sufficient Members to take a proper , on this issue and we need to make a clear statement to the Commission.
We may not have sufficient Members to take a proper decision on this issue and we need to make a clear statement to the Commission.,issue,issue,false,We may not have sufficient Members to take a proper decision on this , and we need to make a clear statement to the Commission.
I would like to ask that you put to the vote whether or not we vote on de Brémond d'Ars because it is a major issue concerning postal workers in the European Union.,issue,issue,false,I would like to ask that you put to the vote whether or not we vote on de Brémond d'Ars because it is a major , concerning postal workers in the European Union.
This report offers an opportunity for investment not a financial burden to be met.,opportunity,opportunity,false,This report offers an , for investment not a financial burden to be met.
"One of the key reasons this report will be resoundingly adopted is because of the efforts of organizations like Surfers Against Sewage who have demonstrated so comprehensively that the present directive and its lax implementation by the British Government has cost hundreds of millions of pounds in health-care, social and lost production costs in the UK.",reason,reasons,true,One of the key ," this report will be resoundingly adopted is because of the efforts of organizations like Surfers Against Sewage who have demonstrated so comprehensively that the present directive and its lax implementation by the British Government has cost hundreds of millions of pounds in health-care, social and lost production costs in the UK."
"One of the key reasons this report will be resoundingly adopted is because of the efforts of organizations like Surfers Against Sewage who have demonstrated so comprehensively that the present directive and its lax implementation by the British Government has cost hundreds of millions of pounds in health-care, social and lost production costs in the UK.",effort,efforts,false,One of the key reasons this report will be resoundingly adopted is because of the ," of organizations like Surfers Against Sewage who have demonstrated so comprehensively that the present directive and its lax implementation by the British Government has cost hundreds of millions of pounds in health-care, social and lost production costs in the UK."
I thank them for their efforts.,effort,efforts,false,I thank them for their ,.
Let me make it clear from the outset that our Group had serious doubts about voting for this report.,doubt,doubts,false,Let me make it clear from the outset that our Group had serious , about voting for this report.
"There is no doubt, unfortunately, that the conditions under which that eastward expansion is to take place do justify such fears.",doubt,doubt,true,There is no ,", unfortunately, that the conditions under which that eastward expansion is to take place do justify such fears."
"But the primacy of economic and monetary union and the subordination of all political tasks and objectives to so-called economic imperatives are undermining- but not for the first time and not just because of the eastward enlargement of the EU- one of the Union 's most important political aims, which is the principle of economic and social cohesion.",task,tasks,false,But the primacy of economic and monetary union and the subordination of all political ," and objectives to so-called economic imperatives are undermining- but not for the first time and not just because of the eastward enlargement of the EU- one of the Union 's most important political aims, which is the principle of economic and social cohesion."
"But the primacy of economic and monetary union and the subordination of all political tasks and objectives to so-called economic imperatives are undermining- but not for the first time and not just because of the eastward enlargement of the EU- one of the Union 's most important political aims, which is the principle of economic and social cohesion.",objective,objectives,false,But the primacy of economic and monetary union and the subordination of all political tasks and ," to so-called economic imperatives are undermining- but not for the first time and not just because of the eastward enlargement of the EU- one of the Union 's most important political aims, which is the principle of economic and social cohesion."
"But the primacy of economic and monetary union and the subordination of all political tasks and objectives to so-called economic imperatives are undermining- but not for the first time and not just because of the eastward enlargement of the EU- one of the Union 's most important political aims, which is the principle of economic and social cohesion.",aim,aims,true,But the primacy of economic and monetary union and the subordination of all political tasks and objectives to so-called economic imperatives are undermining- but not for the first time and not just because of the eastward enlargement of the EU- one of the Union 's most important political ,", which is the principle of economic and social cohesion."
"The rapporteur, then, is under the spell of figures, balance sheets and cost estimates, and loses sight of the unique and historical opportunity of eastward expansion, and its importance in terms of peace policy.",opportunity,opportunity,true,"The rapporteur, then, is under the spell of figures, balance sheets and cost estimates, and loses sight of the unique and historical "," of eastward expansion, and its importance in terms of peace policy."
"Behind this attitude, of course, there also lurks the desire to procrastinate over this enlargement, and so pander to the governments of those Member States that are unwilling to contain and share the social consequences of the enlargement of the single market.",desire,desire,true,"Behind this attitude, of course, there also lurks the "," to procrastinate over this enlargement, and so pander to the governments of those Member States that are unwilling to contain and share the social consequences of the enlargement of the single market."
So the kind of constructive criticism contained in the Lindeperg report should prompt us to draw the necessary conclusions which can then be implemented by the Council and Commission.,conclusion,conclusions,undefined,So the kind of constructive criticism contained in the Lindeperg report should prompt us to draw the necessary , which can then be implemented by the Council and Commission.
"In principle, we see two possible approaches here. The first is actually to take advantages of the possibilities of the third pillar, in accordance with Article K.1, to create European policy and relegate national interests to a secondary position.",approach,approaches,true,"In principle, we see two possible "," here. The first is actually to take advantages of the possibilities of the third pillar, in accordance with Article K.1, to create European policy and relegate national interests to a secondary position."
"In principle, we see two possible approaches here. The first is actually to take advantages of the possibilities of the third pillar, in accordance with Article K.1, to create European policy and relegate national interests to a secondary position.",possibility,possibilities,false,"In principle, we see two possible approaches here. The first is actually to take advantages of the "," of the third pillar, in accordance with Article K.1, to create European policy and relegate national interests to a secondary position."
"The second possibility is that Parliament 's urgings should be heeded, so that communitization replaces national legislation where necessary, as for example in the case of asylum policy and the control of the external borders.",possibility,possibility,true,The second ," is that Parliament 's urgings should be heeded, so that communitization replaces national legislation where necessary, as for example in the case of asylum policy and the control of the external borders."
"The second possibility is that Parliament 's urgings should be heeded, so that communitization replaces national legislation where necessary, as for example in the case of asylum policy and the control of the external borders.",urgings,urgings,false,The second possibility is that Parliament 's ," should be heeded, so that communitization replaces national legislation where necessary, as for example in the case of asylum policy and the control of the external borders."
"This is absolutely essential to allow the efficient deployment of the European drugs unit really to take place in matters such as combating sexual abuse, the exploitation of children and the traffic in human beings, because at present that possibility does not exist.",possibility,possibility,false,"This is absolutely essential to allow the efficient deployment of the European drugs unit really to take place in matters such as combating sexual abuse, the exploitation of children and the traffic in human beings, because at present that ", does not exist.
"The second is that greater efforts should be made to regulate at Community level the influx of labour from third countries, and the asylum policy, because the kind of uncontrolled and unlimited influx and mass migrations we are experiencing at present stir up fears, make people worry about their jobs, and so might ultimately result in job losses and xenophobia.",effort,efforts,true,The second is that greater ," should be made to regulate at Community level the influx of labour from third countries, and the asylum policy, because the kind of uncontrolled and unlimited influx and mass migrations we are experiencing at present stir up fears, make people worry about their jobs, and so might ultimately result in job losses and xenophobia."
"Mr President, I contest the European Court of Justice decision to annul the second sentence of Article 5 of the working time directive, which specifies Sunday as a rest day.",decision,decision,true,"Mr President, I contest the European Court of Justice "," to annul the second sentence of Article 5 of the working time directive, which specifies Sunday as a rest day."
"Ladies and gentlemen, there is certainly no dispute about the fact that the day of rest has nothing to do with safety at work.",fact,fact,true,"Ladies and gentlemen, there is certainly no dispute about the ", that the day of rest has nothing to do with safety at work.
"The second point is this: where that free day falls is a question of the calendar, the basic structure of our culture or cultures.",question,question,false,The second point is this: where that free day falls is a ," of the calendar, the basic structure of our culture or cultures."
The freedom of coexistence of these calendars is just as important to safeguard as the right to a day of rest between working weeks.,right,right,true,The freedom of coexistence of these calendars is just as important to safeguard as the , to a day of rest between working weeks.
"To make both these points clear, and stand by them, is the only reasonable reaction to the situation created by the decision of the European Court of Justice.",decision,decision,false,"To make both these points clear, and stand by them, is the only reasonable reaction to the situation created by the ", of the European Court of Justice.
"The Group of the European People 's Party now calls upon the Member States, when transposing the Directive into national law, to recognize Sunday as, in principle, a day of rest.",law,law,false,"The Group of the European People 's Party now calls upon the Member States, when transposing the Directive into national ",", to recognize Sunday as, in principle, a day of rest."
"The intention is not just to sanctify Sunday as a matter of religious tradition- in a flexible working world, it is often the only cultural and social space where the family can meet for rest and recreation.",intention,intention,false,The ," is not just to sanctify Sunday as a matter of religious tradition- in a flexible working world, it is often the only cultural and social space where the family can meet for rest and recreation."
It is about an attempt to challenge our right to one of the achievements of our civilization and our culture.,attempt,attempt,false,It is about an , to challenge our right to one of the achievements of our civilization and our culture.
"Finally, may I say that I too, as a Catholic, should like to be free to go about my religious duties unhindered next Sunday.",duty,duties,false,"Finally, may I say that I too, as a Catholic, should like to be free to go about my religious ", unhindered next Sunday.
"This resolution is an indication of our continuing concern but it is clear that President Reina and the government have already made some progress in dealing with problem and this has, in fact, been recognized by Casa Alianza.",indication,indication,false,This resolution is an ," of our continuing concern but it is clear that President Reina and the government have already made some progress in dealing with problem and this has, in fact, been recognized by Casa Alianza."
"This resolution is an indication of our continuing concern but it is clear that President Reina and the government have already made some progress in dealing with problem and this has, in fact, been recognized by Casa Alianza.",problem,problem,true,This resolution is an indication of our continuing concern but it is clear that President Reina and the government have already made some progress in dealing with ," and this has, in fact, been recognized by Casa Alianza."
"This resolution is an indication of our continuing concern but it is clear that President Reina and the government have already made some progress in dealing with problem and this has, in fact, been recognized by Casa Alianza.",fact,fact,false,"This resolution is an indication of our continuing concern but it is clear that President Reina and the government have already made some progress in dealing with problem and this has, in ",", been recognized by Casa Alianza."
Children are at risk in many of these states and this all underlines the very pressing need for economic policies to be pursued which will alleviate poverty and will not increase it.,need,need,true,Children are at risk in many of these states and this all underlines the very pressing , for economic policies to be pursued which will alleviate poverty and will not increase it.
"Nothing is said here about genuine resocialization, there is no call for a change in social conditions, but ultimately it 's just the same old story, even if there are signs of more praiseworthy efforts: we do nothing to change economic policy, and we still deal with the oligarchies in these countries.",effort,efforts,false,"Nothing is said here about genuine resocialization, there is no call for a change in social conditions, but ultimately it 's just the same old story, even if there are signs of more praiseworthy ",": we do nothing to change economic policy, and we still deal with the oligarchies in these countries."
But this may be the right moment for us to express the hope that this is the last time we shall have to deal with this problem.,hope,hope,true,But this may be the right moment for us to express the , that this is the last time we shall have to deal with this problem.
"There is a new government, and Romania today offers new hope for the future.",hope,hope,false,"There is a new government, and Romania today offers new ", for the future.
"I can only express this Parliament 's hope that Romania will now steer a course towards a humane and social regime, and a regime that will treat its minorities with justice.",hope,hope,true,I can only express this Parliament 's ," that Romania will now steer a course towards a humane and social regime, and a regime that will treat its minorities with justice."
"Mr President, I should like to thank honourable Members for ensuring that we have the opportunity to discuss this point today, as an act of solidarity with an elected Member of the Slovakian Parliament whom the authorities quite simply wish to deprive of his mandate for reasons of power politics.",opportunity,opportunity,true,"Mr President, I should like to thank honourable Members for ensuring that we have the "," to discuss this point today, as an act of solidarity with an elected Member of the Slovakian Parliament whom the authorities quite simply wish to deprive of his mandate for reasons of power politics."
"Mr President, I should like to thank honourable Members for ensuring that we have the opportunity to discuss this point today, as an act of solidarity with an elected Member of the Slovakian Parliament whom the authorities quite simply wish to deprive of his mandate for reasons of power politics.",reason,reasons,false,"Mr President, I should like to thank honourable Members for ensuring that we have the opportunity to discuss this point today, as an act of solidarity with an elected Member of the Slovakian Parliament whom the authorities quite simply wish to deprive of his mandate for ", of power politics.
"Unlike Mr von Habsburg, I am of the opinion that we cannot just gloss over things.",opinion,opinion,true,"Unlike Mr von Habsburg, I am of the ", that we cannot just gloss over things.
"So I hope that, with this resolution, we shall add power to the arm of those democratic forces in Slovakia that are fighting for their completely normal constitutional rights, in the interests of the democratic future of Europe.",right,rights,false,"So I hope that, with this resolution, we shall add power to the arm of those democratic forces in Slovakia that are fighting for their completely normal constitutional ",", in the interests of the democratic future of Europe."
"The question is whether we support Mrs d'Ancona 's position and say: yes, let us investigate and let us express the strength of opinion, but let us not prejudge.",question,question,true,The ," is whether we support Mrs d'Ancona 's position and say: yes, let us investigate and let us express the strength of opinion, but let us not prejudge."
"We pointed out as far back as a year ago that the government in Zaire seemed unwilling to proceed with demilitarization, and that then led to this catastrophe, the more so since the military leaders have not even concealed their intention of regaining power by force in Rwanda and Burundi.",intention,intention,true,"We pointed out as far back as a year ago that the government in Zaire seemed unwilling to proceed with demilitarization, and that then led to this catastrophe, the more so since the military leaders have not even concealed their ", of regaining power by force in Rwanda and Burundi.
"On the other hand- and this, too, was heard in this House- we may not have given sufficiently thorough consideration, Commissioner, to the fact that there may be other alternatives somewhere between absolutely voluntary repatriation and the view you accused me of holding last month when you asked me if I was in favour of starving out the camps- some way of increasing pressure to decentralize these mass gatherings of refugees.",fact,fact,true,"On the other hand- and this, too, was heard in this House- we may not have given sufficiently thorough consideration, Commissioner, to the ", that there may be other alternatives somewhere between absolutely voluntary repatriation and the view you accused me of holding last month when you asked me if I was in favour of starving out the camps- some way of increasing pressure to decentralize these mass gatherings of refugees.
"On the other hand- and this, too, was heard in this House- we may not have given sufficiently thorough consideration, Commissioner, to the fact that there may be other alternatives somewhere between absolutely voluntary repatriation and the view you accused me of holding last month when you asked me if I was in favour of starving out the camps- some way of increasing pressure to decentralize these mass gatherings of refugees.",way,way,true,"On the other hand- and this, too, was heard in this House- we may not have given sufficiently thorough consideration, Commissioner, to the fact that there may be other alternatives somewhere between absolutely voluntary repatriation and the view you accused me of holding last month when you asked me if I was in favour of starving out the camps- some ", of increasing pressure to decentralize these mass gatherings of refugees.
That might perhaps be an indicator for the future.,indicator,indicator,false,That might perhaps be an , for the future.
"Now, once again, the danger exists that all we do is supply these enormous numbers of people with the absolute essentials.",danger,danger,true,"Now, once again, the ", exists that all we do is supply these enormous numbers of people with the absolute essentials.
But the critical question is this: how are we going to induce Hutus and Tutsis to live together in peace?,question,question,true,But the critical , is this: how are we going to induce Hutus and Tutsis to live together in peace?
"That has nothing to do with what you have been doing, but the reason we have slid into this disaster is partly because those stocks of weapons existed in the camps.",reason,reason,undefined,"That has nothing to do with what you have been doing, but the ", we have slid into this disaster is partly because those stocks of weapons existed in the camps.
"Madam President, ladies and gentlemen, the fact that we in this House spend more time on voting than we do on debating is sufficiently well known, but what has happened here in the last fifteen minutes is, in my view, incompatible with the efficiency of Parliament.",fact,fact,true,"Madam President, ladies and gentlemen, the "," that we in this House spend more time on voting than we do on debating is sufficiently well known, but what has happened here in the last fifteen minutes is, in my view, incompatible with the efficiency of Parliament."
"Madam President, ladies and gentlemen, the fact that we in this House spend more time on voting than we do on debating is sufficiently well known, but what has happened here in the last fifteen minutes is, in my view, incompatible with the efficiency of Parliament.",view,view,false,"Madam President, ladies and gentlemen, the fact that we in this House spend more time on voting than we do on debating is sufficiently well known, but what has happened here in the last fifteen minutes is, in my ",", incompatible with the efficiency of Parliament."
So I should like to make a proposal which we might perhaps take to heart in the second half of our electoral period.,proposal,proposal,true,So I should like to make a , which we might perhaps take to heart in the second half of our electoral period.
"Madam President, with all due respect to Mr Santini, I take a completely different view in this case.",view,view,false,"Madam President, with all due respect to Mr Santini, I take a completely different ", in this case.
"We have discussed this sufficiently, we have had a thorough debate in the House, and now we have to take a decision so that we can exert an influence on the Commission.",decision,decision,false,"We have discussed this sufficiently, we have had a thorough debate in the House, and now we have to take a ", so that we can exert an influence on the Commission.
"I assume Mr Santini fears that what was rejected in the voting in committee will now be restored, but as I see it that is actually a reason to take the vote now, because those articles that were dropped at the committee stage are very important to me.",reason,reason,true,"I assume Mr Santini fears that what was rejected in the voting in committee will now be restored, but as I see it that is actually a "," to take the vote now, because those articles that were dropped at the committee stage are very important to me."
( Parliament rejected the request for referral back to committee),request,request,true,( Parliament rejected the , for referral back to committee)
